Year,WB Status,Market Value
2021,LIC,750844205.582443
2020,LIC,708906989.14584
2019,LIC,784811327.474577
2018,LIC,433415211.827073
2017,LIC,444329626.97211
2016,LIC,515566120.690883
2015,LIC,611897636.91625
2014,LIC,503827420.778733
2013,LIC,374635306.035376
2012,LIC,338682258.664561
2011,LIC,293915118.490231
2010,LIC,304319373.25819
2009,LIC,438132375.441922
2008,LIC,345361654.385317
2007,LIC,311544336.378418
2006,LIC,276518857.388994
2005,LIC,271824325.539714
2004,LIC,250218532.745009
2003,LIC,193566677.508525
2002,LIC,171530387.200122
2021,LMIC,2144642991.75749
2020,LMIC,1754705648.92819
2019,LMIC,1786223627.45474
2018,LMIC,1361043384.89038
2017,LMIC,1140169367.83742
2016,LMIC,1078396923.15329
2015,LMIC,857445029.304541
2014,LMIC,679857635.806894
2013,LMIC,593788951.056536
2012,LMIC,616961072.852914
2011,LMIC,1414734449.84771
2010,LMIC,1319339283.10134
2009,LMIC,1307408164.73537
2008,LMIC,1049118695.49306
2007,LMIC,942196823.278487
2006,LMIC,454302830.654412
2005,LMIC,435274160.944923
2004,LMIC,386882868.092879
2003,LMIC,281813075.856653
2002,LMIC,271339249.593132
2021,UMIC,4582781260.2668
2020,UMIC,4489163627.15898
2019,UMIC,3732036063.50569
2018,UMIC,4085422694.45728
2017,UMIC,4106083196.14863
2016,UMIC,3740279974.45542
2015,UMIC,3542426857.96377
2014,UMIC,3436930358.31379
2013,UMIC,3265516046.75261
2012,UMIC,3111497895.54701
2011,UMIC,1542379704.37421
2010,UMIC,1300996750.59853
2009,UMIC,914368053.607735
2008,UMIC,717859658.199908
2007,UMIC,448860065.294507
2006,UMIC,382801500.15774
2005,UMIC,233745921.07843
2004,UMIC,217211603.043268
2003,UMIC,291095249.86137
2002,UMIC,372440265.78912
2021,HIC,19118644359.517
2020,HIC,18029649183.5497
2019,HIC,17209364908.0293
2018,HIC,16795717037.1535
2017,HIC,15921980457.8698
2016,HIC,15374626792.8606
2015,HIC,14319303914.9503
2014,HIC,13101226811.1354
2013,HIC,12548922770.5855
2012,HIC,11834321436.6722
2011,HIC,11027401693.556
2010,HIC,10463658241.2302
2009,HIC,9602721868.20591
2008,HIC,9754863145.89737
2007,HIC,8821294272.91819
2006,HIC,7654477717.4112
2005,HIC,6390824038.68336
2004,HIC,5820656016.30276
2003,HIC,5146145566.10882
2002,HIC,4707554985.77312
