WHO Region1,Vaccine (group),Value
AFR,YF,1232193
EMR,Varicella,14646735
EUR,Varicella,14122623
AMR,Varicella,10285166
SEAR,Varicella,11969248
AFR,Varicella,6959002
WPR,Varicella,8676899
EMR,Shingles,4959137
EUR,Shingles,70129743
AMR,Shingles,33320798
SEAR,Shingles,4748295
AFR,Shingles,4457509
WPR,Shingles,94839363
EMR,Rota,48420530
EUR,Rota,74368271
AMR,Rota,6834991
AFR,Rota,88243185
WPR,Rota,176266220
EMR,PPSV23,9694043
EUR,PPSV23,71179742
AMR,PPSV23,39493151
SEAR,PPSV23,18974620
AFR,PPSV23,5754821
WPR,PPSV23,151845675
EMR,PCV,38722297
EUR,PCV,28334120
AMR,PCV,92419211
SEAR,PCV,9213776
AFR,PCV,20617595
WPR,PCV,225795792
EMR,MenB,17294976
EUR,MenB,68338531
AMR,MenB,75555349
WPR,MenB,90126706
EMR,MenACYW-135,27510441
EUR,MenACYW-135,29695728
AMR,MenACYW-135,146392970
SEAR,MenACYW-135,57237909
AFR,MenACYW-135,64498526
WPR,MenACYW-135,12180493
EMR,MCV,110116361
EUR,MCV,146826487
AMR,MCV,69682375
SEAR,MCV,317061923
AFR,MCV,382039411
WPR,MCV,360915874
EUR,JE,42212006
WPR,JE,11135537
EMR,IPV,3168412
EUR,IPV,251057
WPR,IPV,2048283
EMR,HPV,65460113
EUR,HPV,107211816
AMR,HPV,131381154
SEAR,HPV,27253024
AFR,HPV,133580040
WPR,HPV,911252957.188716
EUR,HepB,16845742
WPR,HepB,465901
EMR,HepA,2113902
EUR,HepA,30695147
AMR,HepA,8925393
SEAR,HepA,28992
AFR,HepA,1881982
WPR,HepA,7580157
EMR,BCG,82203
AMR,BCG,50989
EMR,aP-containing,188282243
EUR,aP-containing,102849193
AMR,aP-containing,306278954
SEAR,aP-containing,528138901
AFR,aP-containing,593280358
WPR,aP-containing,495091829
